date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:08:32	957/957	---MC-	200	added ('OK')	application/rss+xml	etag:%22445a5dd96902c12d270856fb32fac9eb%22	http://demo.amytheme.com/movie/demo/multi-cinema/six-book-to-film-adaptations-to-get-excited-about-this-autumn/feed/	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/six-book-to-film-adaptations-to-get-excited-about-this-autumn/feed/index.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/six-book-to-film-adaptations-to-get-excited-about-this-autumn/)
22:08:32	19365/19365	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2007:01:02%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_4-1-196x336.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_4-1-196x336.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/now-playing/page/2/)
22:08:32	2724/2724	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Sep%202020%2015:08:31%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.amytheme.com%2Fmovie%2Fdemo%2Fmulti-cinema%2Fsix-book-to-film-adaptations-to-get-excited-about-this-autumn%2F	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embedb66c.json	(from http://demo.amytheme.com/movie/demo/multi-cinema/six-book-to-film-adaptations-to-get-excited-about-this-autumn/)
22:08:32	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Sep%202020%2015:08:31%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/?p=105	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/indexea0f.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/six-book-to-film-adaptations-to-get-excited-about-this-autumn/)
22:08:33	2844/2844	---MC-	200	added ('OK')	text/xml	date:Tue,%2029%20Sep%202020%2015:08:32%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.amytheme.com%2Fmovie%2Fdemo%2Fmulti-cinema%2Fsix-book-to-film-adaptations-to-get-excited-about-this-autumn%2F&format=xml	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed6019	(from http://demo.amytheme.com/movie/demo/multi-cinema/six-book-to-film-adaptations-to-get-excited-about-this-autumn/)
22:08:33	33986/33986	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2006:54:18%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_56.jpg	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-content/uploads/2019/04/img_56.jpg	(from http://demo.amytheme.com/movie/demo/multi-cinema/six-book-to-film-adaptations-to-get-excited-about-this-autumn/)
22:08:34	902/902	---MC-	200	added ('OK')	application/rss+xml	etag:%222ec1f8e5c07b02bee2db638c16c48706%22	http://demo.amytheme.com/movie/demo/multi-cinema/the-beatles-eight-days-a-week-the-touring/feed/	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/the-beatles-eight-days-a-week-the-touring/feed/index.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/the-beatles-eight-days-a-week-the-touring/)
22:08:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2029%20Sep%202020%2015:08:33%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/?p=104	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/index9430.html	(from http://demo.amytheme.com/movie/demo/multi-cinema/the-beatles-eight-days-a-week-the-touring/)
22:08:34	2648/2648	---MC-	200	added ('OK')	application/json	date:Tue,%2029%20Sep%202020%2015:08:33%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.amytheme.com%2Fmovie%2Fdemo%2Fmulti-cinema%2Fthe-beatles-eight-days-a-week-the-touring%2F	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed7d26.json	(from http://demo.amytheme.com/movie/demo/multi-cinema/the-beatles-eight-days-a-week-the-touring/)
22:08:35	2774/2774	---MC-	200	added ('OK')	text/xml	date:Tue,%2029%20Sep%202020%2015:08:33%20GMT	http://demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdemo.amytheme.com%2Fmovie%2Fdemo%2Fmulti-cinema%2Fthe-beatles-eight-days-a-week-the-touring%2F&format=xml	C:/Users/VU%20TRAN/Desktop/Movie/demo.amytheme.com/movie/demo/multi-cinema/wp-json/oembed/1.0/embed211c	(from http://demo.amytheme.com/movie/demo/multi-cinema/the-beatles-eight-days-a-week-the-touring/)
